group,value1,value2
India,32,37
Brazil,20,29
United States,15,27
Belgium,12,26
South Africa,10,25
Sweden,14,23
Canada,18,20
Turkey,5,19
Saudi Arabia,18,19
Australia,13,19
Mexico,8,17
Great Britain,11,17
China,11,17
Germany,7,14
Argentina,9,14
South Korea,8,13
Italy,3,11
Romania,7,10
Hungary,5,9
Spain,5,9
France,5,9
Japan,7,4
Russia,5,0
